,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V)
0,0,0,0,0,0,integer,ra,dec,integer,float,integer,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,float,float,float,float,float,float,float
1,1,1,1,1,1,201611693,11 01 42.060,+02 13 28.51,1,18.151,,,,,1992-301-3-0104-0143,EXTENDED,gri,7,3,11,3,,,,,,,20.685,0.102,18.972,0.012,18.234,0.01,17.799,0.01,17.478,0.029,,,,,,,,,,,,,,
2,2,2,2,2,2,201611821,11 00 08.374,+02 13 35.00,1,8.856,,262-111-1,462-047184,11000838+0213349,,STAR,gri,-29.4,1.2,-17.6,1.2,,,10.464,0.062,9.035,0.022,,,10.177,0.04,9.296,0.09,8.29,0.06,,,6.815,0.039,6.174,0.055,5.99,0.042,4636,2.402,-0.149,11.353,1.23,8.35E-04,356.4,0.033
3,3,3,3,3,3,201612031,11 06 32.833,+02 13 45.82,1,10.028,,262-113-1,462-047352,11063283+0213458,,STAR,gri,30.4,1.5,-11.1,1.5,,,10.8,0.05,10.316,0.044,,,10.366,0.06,10.035,0.03,9.884,0.07,,,9.183,0.024,8.962,0.051,8.865,0.023,6272,4.12,-0.041,1.543,1.247,0.312,209.8,0.027
4,4,4,4,4,4,201612224,10 59 31.489,+02 13 56.13,1,16.778,,,,10593148+0213561,1992-301-3-0100-0131,EXTENDED,gri,-7,3,-6,3,,,,,,,18.853,0.04,17.604,0.007,16.841,0.006,16.424,0.006,16.155,0.018,16.347,0.169,15.466,0.129,15.077,0.18,,,,,,,,
5,5,5,5,5,5,201612439,11 06 59.311,+02 14 07.15,1,14.396,,,462-047363,11065931+0214071,1992-301-3-0113-0008,STAR,gri,-25.3,3.9,-45.6,2.9,,,15.547,0.06,14.7,0.09,,,15.051,0.03,14.417,0.12,14.116,0.08,,,13.054,0.022,12.576,0.032,12.453,0.023,5039,4.639,-0.656,0.652,0.681,2.41,415.8,0.031
6,6,6,6,6,6,201612685,11 05 26.698,+02 14 21.78,1,14.664,,,462-047323,11052668+0214216,1992-301-3-0110-0022,STAR,gri,6.6,2.3,0.7,3.7,,,15.615,0.03,14.84,0.04,,,15.22,0.05,14.568,0.02,14.425,0.11,,,13.341,0.024,12.86,0.024,12.748,0.029,5124,3.449,-0.674,1.992,0.855,0.046,1506,0.035
7,7,7,7,7,7,201612986,11 04 17.944,+02 14 39.35,1,17.38,,,,11041794+0214393,1992-301-3-0108-0191,EXTENDED,gri,-1,3,0,3,,,,,,,20.189,0.07,18.353,0.009,17.379,0.006,16.963,0.006,16.642,0.016,15.913,0.122,15.586,0.13,14.956,0.153,,,,,,,,
8,8,8,8,8,8,201613145,11 01 43.199,+02 14 48.88,1,18.122,,,,11014319+0214488,1992-301-3-0104-0147,EXTENDED,gri,5,3,8,3,,,,,,,20.585,0.085,19.323,0.015,18.039,0.008,17.608,0.008,17.306,0.023,16.545,0.151,15.639,0.145,15.277,0.199,,,,,,,,
9,9,9,9,9,9,201613184,11 04 33.840,+02 14 51.63,1,18.431,,,,,1992-301-3-0109-0019,STAR,gri,8,3,-4,3,,,,,,,18.825,0.018,18.526,0.007,18.399,0.008,18.27,0.009,18.253,0.029,,,,,,,,,,,,,,
10,10,10,10,10,10,201613478,10 59 20.295,+02 15 08.04,1,10.009,,255-715-1,462-047167,10592029+0215079,,STAR,gri,9.9,1.8,-17.2,1.8,,,12.127,0.339,10.325,0.063,,,10.971,0.02,10.08,0.06,9.596,0.02,,,8.169,0.026,7.564,0.044,7.375,0.024,4557,2.221,-0.358,12.954,1.062,4.57E-04,738.1,0.034
11,11,11,11,11,11,201613485,10 58 36.458,+02 15 08.58,1,12.862,,,462-047152,10583644+0215086,,STAR,gri,-28.5,2.5,5,1.8,,,13.665,0.01,12.991,0.02,,,13.282,0.01,12.813,0.01,12.682,0.01,,,11.719,0.024,11.373,0.026,11.309,0.024,5825,4.409,-0.204,1.014,0.946,0.882,408.5,0.035
12,12,12,12,12,12,201613524,11 00 59.175,+02 15 11.03,1,18.074,,,,11005917+0215110,1992-301-3-0103-0089,STAR,gri,51,4,-28,4,,,,,,,23.426,0.519,20.067,0.017,18.574,0.009,17.22,0.006,16.455,0.009,15.057,0.041,14.46,0.039,14.213,0.087,3527,5.089,-0.166,0.205,0.195,20.73,197,0.028
13,13,13,13,13,13,201613675,10 59 41.006,+02 15 20.00,1,17.66,,,,10594100+0215200,1992-301-3-0100-0151,STAR,gri,63,6,-45,6,,,,,,,23.04,0.368,19.831,0.015,18.384,0.008,16.729,0.005,15.828,0.007,14.342,0.027,13.662,0.031,13.401,0.046,3621,5.037,-0.131,0.243,0.24,16.16,172.2,0.029
14,14,14,14,14,14,201613723,11 02 21.520,+02 15 22.71,1,19.431,,,,,1992-301-3-0105-0172,STAR,gri,-12,4,-14,4,,,,,,,19.373,0.025,19.196,0.01,19.51,0.015,19.742,0.026,20.134,0.13,,,,,,,,,,,,,,
15,15,15,15,15,15,201613961,11 07 38.348,+02 15 34.37,1,16.288,,,,11073834+0215343,1992-301-3-0114-0159,STAR,gri,-111,4,20,4,,,,,,,21.521,0.101,18.695,0.008,17.077,0.005,15.256,0.004,14.29,0.004,12.677,0.022,12.096,0.023,11.828,0.026,3207,5.18,-0.184,0.157,0.137,35.15,58.8,0.011
