,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
0,0,0,0,0,0,integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
1,1,1,1,1,1,246174050,23 05 09.611,-05 33 18.74,1,16.18,,,,23050961-0533187,8066-301-2-0051-0239,EXTENDED,gri,,-4,2,4,2,,,,,,,18.158,0.031,16.933,0.005,16.281,0.004,15.857,0.004,15.564,0.009,15.312,0.079,14.646,0.1,14.131,0.086,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,25,
2,2,2,2,2,2,246174058,23 18 44.220,-05 33 18.08,1,11.572,,5249-994-1,423-141256,23184422-0533181,,STAR,gri,plx,-10,2.5,-11.3,2.7,,,12.002,0.167,11.303,0.114,,,11.984,0.02,11.566,0.02,11.396,0.02,,,10.5,0.023,10.198,0.025,10.086,0.022,5985,96,96,4.134,0.135,0.162,-0.222,0.2,0.32,1.424,0.245,0.209,1.023,0.107,0.107,0.328,0.198,0.142,332.7,47.5,47.5,0.038,0.014,0.008,AAA-222-111-000-0-0,82.7,
3,3,3,3,3,3,246174110,23 00 16.057,-05 33 13.53,1,16.927,,,,23001605-0533135,8054-301-1-0162-0096,STAR,gri,rpm,2,2,3,2,,,,,,,18.653,0.023,17.511,0.005,16.946,0.005,16.676,0.005,16.551,0.01,15.696,0.065,15.202,0.119,15.109,0.127,5187,123,82,2.457,0.609,0.435,-2.013,0.63,0.35,7.628,5.002,3.863,0.806,0.016,0.016,0.001,0.009,9.43E-04,17960,8531,8862,0.037,0.013,0.008,ABB-222-111-000-0-0,30.9,
4,4,4,4,4,4,246174196,23 17 12.033,-05 33 08.32,1,14.691,,,423-141213,23171203-0533084,8066-301-2-0071-0095,STAR,gri,rpm,-5.5,3.8,-24.9,4.7,,,15.816,0.02,14.945,0.04,,,15.395,0.01,14.629,0.01,14.389,0.02,,,13.275,0.026,12.805,0.026,12.733,0.03,5040,80,80,4.598,0.03,0.03,-0.174,0.16,0.2,0.738,0.042,0.052,0.787,0.046,0.055,1.93,0.286,0.21,509.5,36.44,40.53,0.039,0.013,0.009,AAA-222-111-000-0-0,38.7,
5,5,5,5,5,5,246174205,22 59 20.082,-05 33 07.25,1,13.262,,,423-140722,22592009-0533072,,STAR,gri,rav,-25,3.7,79.5,4.6,,,15.285,0.03,13.941,0.035,,,14.667,0.037,13.323,0.042,12.66,0.062,,,11.082,0.021,10.513,0.022,10.305,0.021,3968,119,119,4.912,0.09,0.09,-0.371,0.15,0.15,0.353,0.074,0.075,0.386,0.106,0.106,8.021,5.169,2.722,65,20.45,13.25,0.016,0.008,0.003,AAA-222-111-000-0-0,22.4,
6,6,6,6,6,6,246174237,23 08 38.155,-05 33 04.68,1,14.41,,,423-140983,23083816-0533046,8066-301-2-0057-0061,STAR,gri,rpm,35.6,4.5,24.4,5.6,,,15.878,0.06,14.84,0.043,,,15.28,0.042,14.411,0.049,14.037,0.072,,,12.894,0.023,12.334,0.022,12.236,0.027,4752,76,76,4.656,0.056,0.035,-0.34,0.25,0.4,0.641,0.052,0.081,0.679,0.071,0.071,2.495,0.682,0.396,345.6,37.74,46.67,0.039,0.013,0.009,AAA-222-111-000-0-0,42,
7,7,7,7,7,7,246174242,23 00 36.884,-05 33 04.56,1,15.479,,,423-140757,23003689-0533044,8054-301-1-0163-0180,STAR,JHK,rpm,-0.5,4.4,-12.5,5.8,,,,,,,,,,,,,,,,,13.765,0.033,13.196,0.033,13.073,0.04,4654,235,376,4.648,0.11,0.05,-0.136,0.2,0.32,0.66,0.072,0.135,0.716,0.073,0.131,2.438,1.571,0.456,509.1,103.5,157.5,0.035,0.011,0.007,AAA-222-111-000-0-0,49.4,
8,8,8,8,8,8,246174254,23 17 04.181,-05 33 04.25,1,9.946,114960,5249-1026-1,423-141208,23170420-0533040,,STAR,gri,plx,-148.16,1.83,-279.85,1.18,15.86,1.51,11.044,0.071,10.162,0.043,,,10.703,0.14,10.07,0.05,9.621,0.06,,,8.558,0.023,8.138,0.034,8.029,0.026,5147,123,123,4.583,0.02,0.028,-0.074,0.16,0.24,0.771,0.04,0.045,0.84,0.047,0.065,1.786,0.195,0.209,63.05,6.003,6.003,0.016,0.004,0.003,AAA-111-111-000-0-0,57,
9,9,9,9,9,9,246174260,23 23 14.197,-05 33 03.90,1,13.345,,,423-141366,23231419-0533037,,STAR,gri,rpm,26.3,2.2,12.3,4.4,,,14.124,0.02,13.451,0.03,,,13.752,0.02,13.26,0.01,13.17,0.09,,,12.19,0.023,11.818,0.025,11.79,0.027,5743,90,113,4.429,0.075,0.45,-0.332,0.3,0.3,0.967,0.667,0.138,0.911,0.088,0.106,0.975,0.386,0.765,478.5,317.8,79.58,0.035,0.013,0.008,AAA-222-111-000-0-0,53.3,
